episode_hash,operator,decision,score,reason,flags,trim_start,trim_end,n_frames,act_span,progress_dip,cluster,outlier_p,ax_poor_image,ax_jittery,ax_unsteady_camera,ax_hesitant,ax_incomplete
692ea25ad52427f961fa14db,6871e269bc1991b1a1e463ba,keep,-0.4376,,hesitant,0,228,230,0.9956,,,,-0.2139,0.2557,0.2993,2.4805,0.2208
692eac8792a31767e35da3ba,69070e0b9adc5c8f26f55b5a,keep,-0.4378,,jittery,0,146,150,0.9799,,,,-0.0111,1.7245,0.2396,0.7746,-0.5199
692ee61eb07e0e30ff1131d9,6846f7cf9cdf020d4a37a294,keep,-0.4378,,poor_image+unsteady_camera,1,169,171,0.9882,,,,1.4840,0.2460,1.0902,-0.7063,0.0859
692ea0f3b05428c72fb37496,690cb8f69adc5c8f26f64201,keep,-0.4378,,,3,166,168,0.9760,,,,0.8702,0.9568,0.7529,0.0000,-0.4288
692ede43952b26f4cc71a49c,670be6761e62a52f6a35360d,keep,-0.4380,,jittery,7,425,427,0.9812,,,,-0.0124,2.8222,0.6574,-0.8019,-1.0044
692eace31e78e176ba6cf961,6903bd580e94ce070afd33cd,keep,-0.4380,,unsteady_camera,60,221,223,0.7252,,,,0.1275,0.8886,1.2257,-0.0958,0.4119
692e9a5a2fa9ba56c08f8050,6903686e0e94ce070afd1f24,keep,-0.4381,,poor_image,5,103,105,0.9423,0.0445,2,0.5676,1.0210,-0.2530,0.0767,0.0000,0.7195
692ea2c4dfa41139877769a1,6904b8d0466be157ec648ef1,keep,-0.4381,,jittery+unsteady_camera,12,224,226,0.9422,,,,-0.0013,1.0263,1.3855,0.1705,-0.0268
692ea1c5a0e165ab2e42e43a,68696b41314bde44018fa510,keep,-0.4382,,hesitant+incomplete,24,168,170,0.8521,,,,0.4489,-0.1105,-0.5971,1.4337,1.7233
692ea139b77ab81b8b41edde,68696b41314bde44018fa510,keep,-0.4384,,,0,206,210,0.9856,0.2550,3,0.9780,0.5265,0.2309,-0.0880,0.0000,0.7972
692eab1cb77ab81b8b41eeec,6903b590466be157ec64580a,keep,-0.4384,,poor_image+jittery,0,171,173,0.9942,0.1700,3,0.5641,1.0293,1.1637,0.0006,0.2623,-0.8583
692ea16596d2056439f017cf,6903686e0e94ce070afd1f24,keep,-0.4387,,poor_image,3,91,93,0.9565,,,,1.2380,0.1582,0.4937,0.0000,0.4828
692ea0f3b05428c72fb3749b,690cb8f69adc5c8f26f64201,keep,-0.4387,,unsteady_camera+hesitant,1,189,191,0.9895,,,,-0.1934,0.1815,1.3823,2.1874,-0.4810
692ea2c5dfa41139877769b3,6904b8d0466be157ec648ef1,keep,-0.4387,,unsteady_camera+incomplete,41,192,194,0.7824,,,,-0.1005,0.2886,1.2044,0.1987,1.3856
692e9938f169106feb26acf3,6903686e0e94ce070afd1f24,keep,-0.4389,,poor_image,0,93,103,0.9118,,,,1.8783,-0.0225,-0.0994,0.0000,0.3877
692eac8a92a31767e35da3d2,69070e0b9adc5c8f26f55b5a,keep,-0.4390,,jittery+unsteady_camera,0,178,180,0.9944,,,,-0.2340,1.1664,1.6097,0.3974,-0.3325
692ea3305aae241ad236ed22,6903686e0e94ce070afd1f24,keep,-0.4393,,unsteady_camera,0,103,105,0.9904,,,,0.9211,-0.5348,1.2181,0.7432,0.5343
692eabd24e86f0c01a207284,6903686e0e94ce070afd1f24,keep,-0.4393,,unsteady_camera,0,101,105,0.9712,,,,0.8198,0.0874,1.4311,0.0000,0.2833
692eabd54e86f0c01a2072a5,6903686e0e94ce070afd1f24,keep,-0.4393,,jittery,0,91,93,0.9891,,,,0.8988,1.0141,0.1257,0.8401,-0.7598
692e9ee5c7cb0e94dc84bad7,6903686e0e94ce070afd1f24,keep,-0.4395,,jittery,35,100,102,0.6436,,,,0.4045,1.1339,0.0265,0.0000,0.7426
